Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",0,3.84,Scribner,Hardcover,368,2025,2025,,2025/11/10,to-read,to-read (#275),to-read,,,,0,0
222376682,Palaver,Bryan Washington,"Washington, Bryan",,"=""0374609071""","=""9780374609078""",0,3.83,"Farrar, Straus and Giroux",Hardcover,336,2025,,,2025/11/10,to-read,to-read (#274),to-read,,,,0,0
199798201,The Safekeep,Yael van der Wouden,"Wouden, Yael van der",,"=""1668034344""","=""9781668034347""",0,4.09,Avid Reader Press / Simon & Schuster,Hardcover,272,2024,2024,,2025/11/01,to-read,to-read (#273),to-read,,,,0,0
55437088,"Shards of Earth (The Final Architecture, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316705829""","=""9780316705820""",0,4.18,Orbit,Kindle Edition,549,2021,2021,,2023/08/14,currently-reading,currently-reading (#3),currently-reading,,,,1,0
214985934,Perfection,Vincenzo Latronico,"Latronico, Vincenzo",Sophie Hughes,"=""1681378736""","=""9781681378732""",3,3.70,New York Review Books,Kindle Edition,125,2025,2022,2025/10/20,2025/10/07,,,read,,,,1,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.49,Dandy House,Kindle Edition,446,2020,2020,,2025/10/20,to-read,to-read (#272),to-read,,,,0,0
38213103,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.29,Hachette Book Group,Kindle Edition,465,2015,2015,2025/09/19,2020/07/22,,,read,,,,1,0
34017126,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.33,Orbit,Kindle Edition,398,2017,2017,2025/10/13,2025/09/28,,,read,,,,1,0
68043118,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.29,Orbit,Kindle Edition,321,2022,2016,2025/09/28,2025/09/19,,,read,,,,1,0
61033655,Liberation Day,George Saunders,"Saunders, George",,"=""""","=""""",5,3.99,Random House,Kindle Edition,233,2022,2022,2025/08/24,2024/05/30,,,read,"Might be my favorite collection of short stories. Full characters created with a single sentence, interesting premises, and they didn’t leave me with the unfinished feeling I often get from short stories. ",,,1,0
195790861,Service Model,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250290287""","=""9781250290281""",0,4.03,Tor Books,Hardcover,384,2024,2024,,2025/09/09,to-read,to-read (#271),to-read,,,,0,0
195443798,Alien Clay,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1035013770""","=""9781035013777""",0,4.00,Tor,Kindle Edition,396,2024,2024,,2025/09/09,to-read,to-read (#270),to-read,,,,0,0
8500769,"Four Seasons in Rome: On Twins, Insomnia, and the Biggest Funeral in the History of the World",Anthony Doerr,"Doerr, Anthony",,"=""1416545972""","=""9781416545972""",4,3.92,Scribner,Kindle Edition,242,2007,2007,2025/09/07,2025/08/21,,,read,,,,1,0
63922274,Go as a River,Shelley Read,"Read, Shelley",,"=""1954118236""","=""9781954118232""",0,4.26,Spiegel & Grau,Hardcover,320,2023,2023,,2025/09/05,to-read,to-read (#269),to-read,,,,0,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",3,4.11,Riverhead Books,Kindle Edition,490,2024,2024,2025/08/04,2025/03/06,,,read,,,,1,0
61043279,Run Lab Rat Run,Shawn C. Butler,"Butler, Shawn C.",,"=""1737485907""","=""9781737485902""",5,4.18,,Kindle Edition,384,2022,2021,2025/08/15,2025/08/04,,,read,,,,1,0
195790867,Moonbound,Robin Sloan,"Sloan, Robin",,"=""0374610606""","=""9780374610609""",0,3.98,MCD,Hardcover,432,2024,2024,,2025/08/13,to-read,to-read (#268),to-read,,,,0,0
2714071,Free-Range Chickens,Simon Rich,"Rich, Simon",,"=""1400065895""","=""9781400065899""",0,3.81,Random House,Hardcover,144,2008,2008,,2025/08/07,to-read,to-read (#267),to-read,,,,0,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",0,4.46,Random House,Hardcover,464,2022,2022,,2025/08/01,to-read,to-read (#266),to-read,,,,0,0
8130077,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",3,4.27,HarperCollins e-books,Kindle Edition,222,2009,1942,2025/07/25,2025/07/08,,,read,,,,1,0
226747693,The Great Work,Sheldon Costa,"Costa, Sheldon",,"=""1683695054""","=""9781683695059""",0,3.86,Quirk Books,Paperback,336,2025,2025,,2025/07/20,to-read,to-read (#265),to-read,,,,0,0
50548165,The Secret Life of Groceries: The Dark Miracle of the American Supermarket,Benjamin Lorr,"Lorr, Benjamin",,"=""0553459392""","=""9780553459395""",0,3.94,Avery ,Hardcover,328,2020,2020,,2025/07/15,currently-reading,currently-reading (#2),currently-reading,,,,1,0
217203110,My Friends,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982112840""","=""9781982112844""",3,4.42,Atria Books,Kindle Edition,435,2025,2025,2025/07/12,2025/06/01,,,read,,,,1,0
220487339,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"Green, John",,"=""1101592419""","=""9781101592410""",0,4.38,Crash Course Books,Kindle Edition,206,2025,2025,,2025/07/09,to-read,to-read (#264),to-read,,,,0,0
123314421,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161553""","=""9780802161550""",0,3.52,Atlantic Monthly Press,Kindle Edition,212,2023,2023,,2025/07/09,to-read,to-read (#263),to-read,,,,0,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2025/07/01,to-read,to-read (#262),to-read,,,,0,0
211004176,The River Has Roots,Amal El-Mohtar,"El-Mohtar, Amal",,"=""1250341086""","=""9781250341082""",0,3.99,Tordotcom,Hardcover,105,2025,2025,,2025/07/01,to-read,to-read (#261),to-read,,,,0,0
219912076,The Emperor of Gladness,Ocean Vuong,"Vuong, Ocean",,"=""0593831888""","=""9780593831885""",4,3.94,Penguin Press,ebook,416,2025,2025,2025/06/14,2025/05/03,,,read,,,,1,0
